,sampletype
GSM3186670,FSHD
GSM3186671,FSHD
GSM3186672,FSHD
GSM3186673,FSHD
GSM3186674,FSHD
GSM3186675,FSHD
GSM3186676,FSHD
GSM3186677,FSHD
GSM3186678,FSHD
GSM3186679,FSHD
GSM3186680,FSHD
GSM3186681,FSHD
GSM3186682,FSHD
GSM3186683,FSHD
GSM3186684,FSHD
GSM3186685,FSHD
GSM3186686,FSHD
GSM3186687,FSHD
GSM3186688,FSHD
GSM3186689,FSHD
GSM3186690,FSHD
GSM3186691,Control
GSM3186692,Control
GSM3186693,Control
GSM3186694,Control
GSM3186695,Control
GSM3186696,Control
GSM3186697,FSHD
GSM3186698,FSHD
GSM3186699,FSHD
GSM3186700,FSHD
GSM3186701,FSHD
GSM3186702,FSHD
GSM3186703,FSHD
GSM3186704,Control
GSM3186705,Control
GSM3186706,Control
GSM3186707,FSHD
GSM3186708,FSHD
GSM3186709,FSHD
GSM3186710,FSHD
GSM3186711,FSHD
GSM3186712,FSHD
